1	1470578	de
2	1448589	a
3	1394060	la
4	1365723	et
5	1360761	le
6	1327047	les
7	1320249	en
8	1315348	des
9	1283914	du
10	1254124	pour
11	1220561	un
12	1172384	une
13	1169926	sur
14	1157595	dans
15	1136277	au
16	1128135	par
17	1127368	est
18	1038702	avec
19	1020555	que
20	1008437	plus
21	994691	qui
22	969857	ce
23	949055	pas
24	927836	ou
25	900877	il
26	878329	sont
27	857190	vous
28	846386	aux
29	842410	se
30	831462	on
31	828687	ne
32	751483	cette
33	728912	son
34	699683	votre
35	698825	nous
36	691661	tout
37	658535	tous
38	644499	si
39	642713	mais
40	633458	aatre
41	629286	comme
42	577433	sans
43	576902	ces
44	575075	ses
45	574727	sa
46	572070	ont
47	569549	faire
48	563045	bien
49	559295	ata
50	555945	the
