1	2018388	de
2	2018150	a
3	1903606	la
4	1868946	et
5	1828863	le
6	1806243	en
7	1805475	les
9	1755235	du
10	1733327	pour
11	1686541	un
12	1617899	sur
13	1587207	une
14	1547906	dans
15	1540961	est
16	1531321	par
17	1529809	au
18	1389854	plus
19	1386532	que
20	1375664	avec
21	1291912	ou
22	1286652	qui
23	1268276	ce
24	1267880	pas
25	1236293	vous
26	1175387	il
27	1170811	sont
28	1136196	on
29	1123412	aux
30	1121472	ne
31	1073898	se
32	1039667	votre
33	971227	cette
34	958384	nous
35	927145	tout
36	899475	son
37	897558	si
38	882730	aatre
39	852871	tous
40	813894	the
41	778286	mais
42	775350	comme
43	772503	in
44	756123	of
45	752707	sans
46	752252	notre
47	744802	ces
48	737825	and
49	718230	bien
50	715918	faire
